a52dec 0.7.4-8
aalib 1.4rc5-11
accountsservice 0.6.40-2
acl 2.2.52-2
acpi 1.7-1
acpid 2.0.27-1
adwaita-icon-theme 3.18.0-1
aircrack-ng 1.2rc4-2
alsa-lib 1.1.0-1
alsa-plugins 1.1.0-3
alsa-utils 1.1.0-2
android-tools 6.0.1_r22-1
android-udev 20160129-1
apache 2.4.18-2
apr 1.5.2-1
apr-util 1.5.4-2
arb 2.8.1-1
archey3 0.5-4
archlinux-keyring 20160215-1
arm 1.4.5.0-3
arpack 3.3.0-1
aspell 0.60.6.1-4
at-spi2-atk 2.18.1-1
at-spi2-core 2.18.3-1
atk 2.18.0-1
atkmm 2.24.2-2
atlas-lapack-base 3.10.2-3
attica-qt5 5.20.0-1
attr 2.4.47-1
audacity 2.1.2-1
audiofile 0.3.6-3
audit 2.4.4-1
augeas 1.4.0-1
autoconf 2.69-2
automake 1.15-1
avahi 0.6.32-2
awesome 3.5.9-1
babl 0.1.14-1
baobab 3.18.1-1
bash 4.3.042-4
binutils 2.26-3
bison 3.0.4-1
bluez 5.38-2
bluez-firmware 1.2-8
bluez-hid2hci 5.38-2
bluez-libs 5.38-2
bluez-utils 5.38-2
boost 1.60.0-2
boost-libs 1.60.0-2
brial 0.8.4.3-2
bridge-utils 1.5-2
btrfs-progs 4.4.1-1
bumblebee 3.2.1-10
bzip2 1.0.6-5
c-ares 1.11.0-1
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.22.1-1
ca-certificates-utils 20150402-1
cabal-install 1.22.9.0-3
cairo 1.14.6-1
cairo-perl 1.106-1
cairomm 1.12.0-2
cantarell-fonts 1:0.0.24-1
caribou 0.4.19-2
cddlib 094h-2
cdparanoia 10.2-5
cdrkit 1.1.11-3
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
ceph 0.94.5-3
cfitsio 3.370-3
cheese 3.18.1-1
chromaprint 1.3.1-1
chromium 49.0.2623.110-1
cifs-utils 6.4-1
cliquer 1.21-1
clucene 2.3.3.4-9
clutter 1.24.2-1
clutter-gst 3.0.16-1
clutter-gtk 1.6.6-1
cmake 3.5.1-1
cmark 0.25.2-1
cmus 2.7.1-8
cogl 1.22.0-1
colord 1.2.12-1
colord-gtk 0.1.26-2
compositeproto 0.4.2-3
connman 1.31-3
coreutils 8.25-1
cpio 2.12-2
cracklib 2.9.4-1
cryptsetup 1.7.1-1
cscope 15.8.a-3
ctags 5.8-5
ctemplate 2.3-3
ctpl 0.3.4-1
cups-pk-helper 0.2.6-1
curl 7.47.1-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dbus-sharp 0.8.1-1
dbus-sharp-glib 0.6.0-1
dcadec 0.2.0-1
dconf 0.24.0-1
dconf-editor 3.18.2-1
deadbeef 0.7.0-3
desktop-file-utils 0.22-1
device-mapper 2.02.146-1
dhclient 4.3.3.p1-1
dhcpcd 6.10.1-1
diffutils 3.3-2
dina-font 2.92-5
djvulibre 3.5.27-2
dkms 2.2.0.3+git151023-9
dmenu 4.6-1
dmxproto 2.3.1-3
dnsmasq 2.75-1
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
docky 2.2.1.1-1
dosfstools 3.0.28-1
dotconf 1.3-4
dvgrab 3.5-6
dzen2 0.9.5git-6
e2fsprogs 1.42.13-1
ecl 16.0.0-1
eclib 20160206-1
ed 1.13-1
efibootmgr 0.12-1
efivar 0.21-1
elementary-icon-theme 3.2.2-1
elfutils 0.165-1
emacs 24.5-2
enca 1.18-1
enchant 1.6.0-7
eog 3.18.2-1
ethtool 1:4.2-1
evince 3.18.2-2
evolution-data-server 3.18.5-1
exempi 2.2.2-2
exiv2 0.25-3
exo 0.10.7-1
expat 2.1.1-1
faac 1.28-5
faad2 2.7-4
faenza-icon-theme 1.3.1-4
faience-icon-theme 0.5.1-3
fakeroot 1.20.2-1
farstream 0.2.7-1
fcgi 2.4.0-11
feh 2.14.2-1
fetchmail 6.3.26-4
ffmpeg 1:3.0-1
ffmpeg2.8 2.8.6-1
fftw 3.3.4-1
file 5.25-1
file-roller 3.16.4-1
filesystem 2015.09-1
findutils 4.6.0-1
firefox 45.0.1-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 11.2.202.577-1
flex 2.6.0-2
flint 2.5.2-6
flintqs 1:1.0-1
fltk 1.3.3-5
fluidsynth 1.1.6-4
folks 0.11.2-1
fontconfig 2.11.94-1
fontsproto 2.1.3-1
freeglut 3.0.0-1
freetype2 2.6.3-1
fribidi 0.19.7-1
fuse 2.9.5-1
gamin 0.1.10-8
gap 4.7.9-1
garcon 0.4.0-1
gawk 4.1.3-1
gc 7.4.2-4
gcc 5.3.0-5
gcc-libs 5.3.0-5
gconf 3.2.6-3
gconf-editor 3.0.1-3
gconf-sharp 2.24.2-4
gcr 3.18.0-1
gd 2.1.1-3
gdal 2.0.2-3
gdb 7.11-1
gdbm 1.11-1
gdk-pixbuf2 2.32.3-1
gdm 3.18.2-1
geany 1.27-1
geany-plugins 1.27-1
gedit 3.18.3-1
gedit-code-assistance 3.16.0-1
gedit-plugins 3.18.0-1
gegl02 0.2.0-4
geoclue2 2.4.3-1
geocode-glib 3.18.2-1
geogebra 5.0.205.0-1
geoip 1.6.6-2
geoip-database 20160301-2
geos 3.5.0-2
gettext 0.19.7-1
gf2x 1.1-2
gfan 0.5-2
ghc 7.10.3-1
ghostscript 9.19-1
giblib 1.2.4-6
giflib 5.1.2-1
gimp 2.8.16-1
git 2.7.4-1
givaro 3.8.0-2
gjs 1.44.0-2
gkeyfile-sharp 0.1-3
gksu 2.0.2-5
gl2ps 1.3.9-1
glade 3.19.0-1
glade-perl 1.007-9
glew 1.13.0-1
glfw 3.1.2-1
glib-networking 2.46.1-1
glib-perl 1.321-1
glib2 2.46.2-4
glibc 2.23-1
glibmm 2.46.3-1
glm 0.9.7.3-1
glpk 4.58-1
glu 9.0.0-4
gmime 2.6.20-2
gmp 6.1.0-3
gmp-ecm 6.4.4-2
gnome-backgrounds 3.18.0-1
gnome-bluetooth 3.18.2-1
